evidence_block,grain,item,item_2,item_3,rank_label,rank_value,customer_count,address_count,active_address_count,inactive_address_count,order_count,line_count,total_order_value,avg_order_value,shipping_cost,country_count,share_pct,secondary_value,notes
destination_country_customer_mix,destination_country,Portugal,,,country_value_rank,8.0,98,,,,259,259,2492.69,9.6243,12.8985,,3.3038,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,United States of America,,,country_value_rank,9.0,89,,,,223,223,2184.74,9.797,13.2345,,2.8956,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,France,,,country_value_rank,10.0,70,,,,209,209,2019.8,9.6641,12.7239,,2.677,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Sweden,,,country_value_rank,11.0,66,,,,148,148,1598.66,10.8018,13.4081,,2.1188,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Colombia,,,country_value_rank,12.0,33,,,,131,131,1363.19,10.406,12.2618,,1.8067,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Guatemala,,,country_value_rank,13.0,24,,,,116,116,1279.98,11.0343,12.4586,,1.6965,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Czech Republic,,,country_value_rank,14.0,54,,,,131,131,1272.85,9.7164,12.5321,,1.687,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Japan,,,country_value_rank,15.0,42,,,,119,119,1183.25,9.9433,12.8681,,1.5683,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Pakistan,,,country_value_rank,16.0,18,,,,102,102,1002.23,9.8258,11.4059,,1.3283,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Canada,,,country_value_rank,17.0,22,,,,90,90,960.02,10.6669,12.88,,1.2724,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Armenia,,,country_value_rank,18.0,27,,,,93,93,914.0,9.828,12.4161,,1.2114,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Ukraine,,,country_value_rank,19.0,41,,,,93,93,885.28,9.5191,13.8806,,1.1733,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Haiti,,,country_value_rank,20.0,11,,,,88,88,837.87,9.5213,12.4864,,1.1105,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Iran,,,country_value_rank,21.0,19,,,,82,82,822.53,10.0309,12.2878,,1.0902,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Ecuador,,,country_value_rank,22.0,7,,,,63,63,691.87,10.9821,12.4619,,0.917,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Syria,,,country_value_rank,23.0,17,,,,67,67,649.21,9.6897,12.097,,0.8604,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Costa Rica,,,country_value_rank,24.0,13,,,,60,60,637.92,10.632,13.11,,0.8455,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Mexico,,,country_value_rank,25.0,21,,,,63,63,636.73,10.1068,13.2619,,0.8439,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Afghanistan,,,country_value_rank,26.0,21,,,,54,54,594.22,11.0041,13.8667,,0.7876,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Thailand,,,country_value_rank,27.0,31,,,,61,61,577.49,9.467,13.6508,,0.7654,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Vietnam,,,country_value_rank,28.0,18,,,,54,54,542.86,10.053,13.5778,,0.7195,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Nigeria,,,country_value_rank,29.0,24,,,,56,56,526.15,9.3955,14.075,,0.6973,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Belarus,,,country_value_rank,30.0,14,,,,49,49,503.06,10.2665,12.7082,,0.6667,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Democratic Republic of the Congo,,,country_value_rank,31.0,6,,,,42,42,485.11,11.5502,12.1571,,0.643,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Madagascar,,,country_value_rank,32.0,22,,,,45,45,480.57,10.6793,12.42,,0.6369,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Myanmar,,,country_value_rank,33.0,10,,,,42,42,427.81,10.186,13.1429,,0.567,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Netherlands,,,country_value_rank,34.0,8,,,,38,38,427.55,11.2513,11.4579,,0.5667,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Norway,,,country_value_rank,35.0,13,,,,43,43,402.31,9.356,14.1186,,0.5332,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Serbia,,,country_value_rank,36.0,18,,,,36,36,363.82,10.1061,14.45,,0.4822,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Uzbekistan,,,country_value_rank,37.0,5,,,,35,35,356.03,10.1723,12.6543,,0.4719,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Morocco,,,country_value_rank,38.0,6,,,,36,36,347.73,9.6592,12.4667,,0.4609,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Cameroon,,,country_value_rank,39.0,16,,,,36,36,345.68,9.6022,10.8,,0.4582,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Kenya,,,country_value_rank,40.0,9,,,,39,39,341.21,8.749,11.3615,,0.4522,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Argentina,,,country_value_rank,41.0,15,,,,25,25,334.06,13.3624,12.284,,0.4428,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Azerbaijan,,,country_value_rank,42.0,12,,,,38,38,332.76,8.7568,12.3737,,0.441,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Greece,,,country_value_rank,43.0,27,,,,36,36,326.61,9.0725,12.1,,0.4329,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Mali,,,country_value_rank,44.0,8,,,,29,29,323.29,11.1479,13.6379,,0.4285,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Bhutan,,,country_value_rank,45.0,6,,,,30,30,317.99,10.5997,11.52,,0.4215,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Honduras,,,country_value_rank,46.0,9,,,,30,30,302.39,10.0797,12.32,,0.4008,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Ireland,,,country_value_rank,47.0,6,,,,27,27,294.02,10.8896,14.1,,0.3897,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Venezuela,,,country_value_rank,48.0,4,,,,28,28,287.78,10.2779,12.6929,,0.3814,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Libya,,,country_value_rank,49.0,5,,,,25,25,271.67,10.8668,14.876,,0.3601,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Germany,,,country_value_rank,50.0,8,,,,20,20,261.12,13.056,10.76,,0.3461,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Guinea,,,country_value_rank,51.0,6,,,,24,24,260.36,10.8483,13.45,,0.3451,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Macedonia,,,country_value_rank,52.0,4,,,,28,28,256.48,9.16,10.8286,,0.3399,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Ghana,,,country_value_rank,53.0,4,,,,24,24,249.01,10.3754,12.025,,0.33,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Bangladesh,,,country_value_rank,54.0,6,,,,21,21,238.44,11.3543,12.1857,,0.316,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Sierra Leone,,,country_value_rank,55.0,6,,,,24,24,235.78,9.8242,11.8,,0.3125,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,South Africa,,,country_value_rank,56.0,8,,,,32,32,231.18,7.2244,10.5125,,0.3064,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,New Zealand,,,country_value_rank,57.0,2,,,,18,18,209.81,11.6561,11.8333,,0.2781,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,United Kingdom,,,country_value_rank,58.0,4,,,,20,20,207.69,10.3845,13.73,,0.2753,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Tajikistan,,,country_value_rank,59.0,6,,,,21,21,205.09,9.7662,9.9571,,0.2718,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Albania,,,country_value_rank,60.0,6,,,,22,22,203.0,9.2273,10.5909,,0.2691,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Croatia,,,country_value_rank,61.0,13,,,,18,18,188.5,10.4722,13.7667,,0.2498,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Slovenia,,,country_value_rank,62.0,13,,,,21,21,185.32,8.8248,12.4714,,0.2456,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Malaysia,,,country_value_rank,63.0,9,,,,20,20,180.58,9.029,13.25,,0.2393,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Hungary,,,country_value_rank,64.0,9,,,,17,17,176.6,10.3882,12.9588,,0.2341,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Tunisia,,,country_value_rank,65.0,5,,,,13,13,129.06,9.9277,18.0385,,0.1711,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Comoros,,,country_value_rank,66.0,5,,,,13,13,128.99,9.9223,10.1462,,0.171,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Burkina Faso,,,country_value_rank,67.0,2,,,,14,14,127.46,9.1043,13.5714,,0.1689,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Samoa,,,country_value_rank,68.0,2,,,,12,12,121.1,10.0917,13.05,,0.1605,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Finland,,,country_value_rank,69.0,8,,,,14,14,113.76,8.1257,13.5286,,0.1508,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Nepal,,,country_value_rank,70.0,6,,,,12,12,109.32,9.11,13.35,,0.1449,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,South Korea,,,country_value_rank,71.0,5,,,,10,10,104.46,10.446,16.04,,0.1384,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Taiwan,,,country_value_rank,72.0,4,,,,8,8,103.09,12.8863,10.85,,0.1366,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Panama,,,country_value_rank,73.0,12,,,,12,12,101.21,8.4342,10.5,,0.1341,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Tanzania,,,country_value_rank,74.0,7,,,,8,8,99.95,12.4938,13.175,,0.1325,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Micronesia,,,country_value_rank,75.0,2,,,,8,8,89.91,11.2388,10.475,,0.1192,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Rwanda,,,country_value_rank,76.0,6,,,,6,6,84.52,14.0867,12.5,,0.112,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Georgia,,,country_value_rank,77.0,4,,,,8,8,83.64,10.455,14.375,,0.1109,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Uganda,,,country_value_rank,78.0,6,,,,6,6,64.4,10.7333,16.2,,0.0854,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Australia,,,country_value_rank,79.0,5,,,,9,9,64.17,7.13,11.3667,,0.085,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Slovakia,,,country_value_rank,80.0,4,,,,8,8,56.9,7.1125,12.8,,0.0754,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Moldova,,,country_value_rank,81.0,2,,,,6,6,56.65,9.4417,11.5,,0.0751,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Cuba,,,country_value_rank,82.0,4,,,,4,4,52.27,13.0675,10.4,,0.0693,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Montenegro,,,country_value_rank,83.0,6,,,,6,6,48.49,8.0817,14.6,,0.0643,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Kazakhstan,,,country_value_rank,84.0,4,,,,4,4,40.45,10.1125,12.8,,0.0536,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Egypt,,,country_value_rank,85.0,5,,,,5,5,38.94,7.788,7.7,,0.0516,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Mongolia,,,country_value_rank,86.0,4,,,,4,4,38.35,9.5875,12.05,,0.0508,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Ethiopia,,,country_value_rank,87.0,4,,,,4,4,32.31,8.0775,18.2,,0.0428,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Yemen,,,country_value_rank,88.0,5,,,,5,5,31.07,6.214,16.94,,0.0412,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Latvia,,,country_value_rank,89.0,3,,,,3,3,30.25,10.0833,7.9,,0.0401,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Ivory Coast,,,country_value_rank,90.0,2,,,,2,2,24.46,12.23,18.2,,0.0324,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Luxembourg,,,country_value_rank,91.0,2,,,,4,4,23.66,5.915,21.35,,0.0314,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Cyprus,,,country_value_rank,92.0,4,,,,4,4,23.18,5.795,12.05,,0.0307,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Malta,,,country_value_rank,93.0,3,,,,3,3,21.9,7.3,19.3,,0.029,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Lesotho,,,country_value_rank,94.0,1,,,,2,2,17.44,8.72,15.2,,0.0231,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Kosovo,,,country_value_rank,95.0,1,,,,1,1,17.06,17.06,5.9,,0.0226,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Denmark,,,country_value_rank,96.0,2,,,,2,2,15.81,7.905,8.9,,0.021,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Kyrgyzstan,,,country_value_rank,97.0,3,,,,3,3,14.89,4.9633,8.9,,0.0197,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Bulgaria,,,country_value_rank,98.0,1,,,,1,1,7.38,7.38,5.9,,0.0098,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Palestine,,,country_value_rank,99.0,1,,,,1,1,0.84,0.84,24.5,,0.0011,,"Destination country concentration by customers, orders, and value."
repeat_customer_profile,repeat_bucket,repeat_customer,,,repeat_bucket_value_rank,1.0,1270,2436,2084,352,7123,7123,71052.85,9.8925,12.7039,1.8331,94.1718,1.5724,Repeat ordering and address footprint relationship.
repeat_customer_profile,repeat_bucket,single_order_customer,,,repeat_bucket_value_rank,2.0,427,565,525,40,427,427,4397.37,10.2983,13.5272,1.3068,5.8282,1.0,Repeat ordering and address footprint relationship.
repeat_customer_profile,repeat_bucket,no_observed_orders,,,repeat_bucket_value_rank,3.0,303,349,341,8,0,0,0.0,0.0,0.0,1.1452,0.0,0.0,Repeat ordering and address footprint relationship.
shipping_destination_mix,shipping_destination,Express,China,,country_rank_within_shipping,1.0,217,,,,343,343,3387.89,9.8772,11.9,,17.7113,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,International,China,,country_rank_within_shipping,1.0,188,,,,277,277,2707.46,9.7742,24.5,,14.7041,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Priority,China,,country_rank_within_shipping,1.0,188,,,,298,298,2978.44,9.9948,8.9,,15.4767,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Standard,China,,country_rank_within_shipping,1.0,174,,,,258,258,2728.91,10.5772,5.9,,14.621,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Express,Indonesia,,country_rank_within_shipping,2.0,149,,,,238,238,2396.22,10.0682,11.9,,12.5271,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,International,Indonesia,,country_rank_within_shipping,2.0,166,,,,263,263,2529.41,9.6175,24.5,,13.7371,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Priority,Indonesia,,country_rank_within_shipping,2.0,161,,,,251,251,2492.94,9.932,8.9,,12.954,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Standard,Indonesia,,country_rank_within_shipping,2.0,154,,,,243,243,2381.59,9.8008,5.9,,12.7601,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Express,Russia,,country_rank_within_shipping,3.0,81,,,,118,118,1095.79,9.2864,11.9,,5.7286,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,International,Russia,,country_rank_within_shipping,3.0,92,,,,122,122,1120.31,9.1829,24.5,,6.0844,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Priority,Russia,,country_rank_within_shipping,3.0,84,,,,138,138,1346.77,9.7592,8.9,,6.9982,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Standard,Russia,,country_rank_within_shipping,3.0,86,,,,132,132,1258.02,9.5305,5.9,,6.7402,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Express,Poland,,country_rank_within_shipping,4.0,57,,,,90,90,913.68,10.152,11.9,,4.7766,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,International,Philippines,,country_rank_within_shipping,4.0,57,,,,94,94,1058.16,11.257,24.5,,5.7468,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Priority,Philippines,,country_rank_within_shipping,4.0,52,,,,88,88,917.67,10.4281,8.9,,4.7685,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Standard,Brazil,,country_rank_within_shipping,4.0,58,,,,93,93,989.56,10.6404,5.9,,5.3019,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Express,Brazil,,country_rank_within_shipping,5.0,54,,,,83,83,804.35,9.691,11.9,,4.205,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,International,Poland,,country_rank_within_shipping,5.0,43,,,,68,68,706.59,10.391,24.5,,3.8375,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Priority,Brazil,,country_rank_within_shipping,5.0,57,,,,89,89,900.31,10.1158,8.9,,4.6782,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Standard,Poland,,country_rank_within_shipping,5.0,56,,,,88,88,865.06,9.8302,5.9,,4.6348,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Express,Peru,,country_rank_within_shipping,6.0,41,,,,65,65,711.27,10.9426,11.9,,3.7184,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,International,Brazil,,country_rank_within_shipping,6.0,47,,,,68,68,687.62,10.1121,24.5,,3.7344,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Priority,Poland,,country_rank_within_shipping,6.0,51,,,,78,78,814.69,10.4447,8.9,,4.2333,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Standard,Philippines,,country_rank_within_shipping,6.0,53,,,,76,76,755.35,9.9388,5.9,,4.047,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Express,Philippines,,country_rank_within_shipping,7.0,51,,,,76,76,673.99,8.8683,11.9,,3.5235,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,International,Peru,,country_rank_within_shipping,7.0,34,,,,59,59,629.63,10.6717,24.5,,3.4195,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Priority,Portugal,,country_rank_within_shipping,7.0,44,,,,63,63,693.05,11.0008,8.9,,3.6013,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Standard,Portugal,,country_rank_within_shipping,7.0,39,,,,64,64,656.81,10.2627,5.9,,3.5191,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Express,Portugal,,country_rank_within_shipping,8.0,46,,,,66,66,574.26,8.7009,11.9,,3.0021,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,International,United States of America,,country_rank_within_shipping,8.0,45,,,,61,61,628.76,10.3075,24.5,,3.4148,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Priority,Peru,,country_rank_within_shipping,8.0,44,,,,71,71,662.86,9.3361,8.9,,3.4444,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Standard,Peru,,country_rank_within_shipping,8.0,39,,,,57,57,584.39,10.2525,5.9,,3.1311,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Express,United States of America,,country_rank_within_shipping,9.0,41,,,,56,56,509.15,9.092,11.9,,2.6618,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,International,Portugal,,country_rank_within_shipping,9.0,44,,,,66,66,568.57,8.6147,24.5,,3.0879,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Priority,United States of America,,country_rank_within_shipping,9.0,40,,,,55,55,543.64,9.8844,8.9,,2.8249,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Standard,France,,country_rank_within_shipping,9.0,33,,,,53,53,518.16,9.7766,5.9,,2.7762,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Express,France,,country_rank_within_shipping,10.0,30,,,,49,49,448.37,9.1504,11.9,,2.344,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,International,France,,country_rank_within_shipping,10.0,40,,,,52,52,539.17,10.3687,24.5,,2.9282,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Priority,France,,country_rank_within_shipping,10.0,35,,,,55,55,514.1,9.3473,8.9,,2.6714,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Standard,United States of America,,country_rank_within_shipping,10.0,36,,,,51,51,503.19,9.8665,5.9,,2.696,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Express,Sweden,,country_rank_within_shipping,11.0,32,,,,39,39,386.86,9.9195,11.9,,2.0224,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,International,Sweden,,country_rank_within_shipping,11.0,30,,,,42,42,437.35,10.4131,24.5,,2.3752,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Priority,Sweden,,country_rank_within_shipping,11.0,26,,,,32,32,421.96,13.1863,8.9,,2.1926,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Standard,Czech Republic,,country_rank_within_shipping,11.0,30,,,,39,39,412.41,10.5746,5.9,,2.2096,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Express,Pakistan,,country_rank_within_shipping,12.0,14,,,,33,33,377.18,11.4297,11.9,,1.9718,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,International,Czech Republic,,country_rank_within_shipping,12.0,26,,,,33,33,343.58,10.4115,24.5,,1.866,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Priority,Guatemala,,country_rank_within_shipping,12.0,20,,,,34,34,407.83,11.995,8.9,,2.1192,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Standard,Colombia,,country_rank_within_shipping,12.0,22,,,,36,36,374.39,10.3997,5.9,,2.0059,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Express,Colombia,,country_rank_within_shipping,13.0,17,,,,32,32,327.37,10.2303,11.9,,1.7114,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,International,Colombia,,country_rank_within_shipping,13.0,18,,,,29,29,342.5,11.8103,24.5,,1.8601,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Priority,Japan,,country_rank_within_shipping,13.0,20,,,,30,30,344.54,11.4847,8.9,,1.7903,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Standard,Guatemala,,country_rank_within_shipping,13.0,15,,,,31,31,356.56,11.5019,5.9,,1.9104,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Express,Ukraine,,country_rank_within_shipping,14.0,18,,,,28,28,302.85,10.8161,11.9,,1.5833,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,International,Japan,,country_rank_within_shipping,14.0,22,,,,32,32,275.55,8.6109,24.5,,1.4965,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Priority,Canada,,country_rank_within_shipping,14.0,14,,,,27,27,320.68,11.877,8.9,,1.6663,,Shipping method and destination-country interaction.
shipping_destination_mix,shipping_destination,Standard,Sweden,,country_rank_within_shipping,14.0,30,,,,35,35,352.49,10.0711,5.9,,1.8886,,Shipping method and destination-country interaction.
