evidence_block,grain,item,item_2,rank_label,rank_value,revenue,gross_margin_proxy,gross_margin_rate,payment_amount,payment_coverage,customers,orders,order_lines,products,quantity,extra_metric_1,extra_value_1,extra_metric_2,extra_value_2,notes
rep_product_line_mix,sales_rep_product_line,Steve Patterson,Vintage Cars,line_mix_rank_within_rep,3.0,89048.42,35904.26,0.4032,,,5,10,28,23,1102.0,rep_revenue_share,0.176,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Gerard Hernandez,Classic Cars,line_mix_rank_within_rep,1.0,514340.38,206452.01,0.4014,,,7,26,138,37,5084.0,rep_revenue_share,0.4087,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Gerard Hernandez,Vintage Cars,line_mix_rank_within_rep,2.0,195432.42,81284.86,0.4159,,,6,23,74,24,2517.0,rep_revenue_share,0.1553,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Gerard Hernandez,Motorcycles,line_mix_rank_within_rep,3.0,155097.93,64454.72,0.4156,,,4,10,51,13,1822.0,rep_revenue_share,0.1232,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Larry Bott,Classic Cars,line_mix_rank_within_rep,1.0,290766.13,110607.31,0.3804,,,8,19,84,36,2791.0,rep_revenue_share,0.3972,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Larry Bott,Vintage Cars,line_mix_rank_within_rep,2.0,130475.98,55437.52,0.4249,,,7,12,46,20,1618.0,rep_revenue_share,0.1782,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Larry Bott,Ships,line_mix_rank_within_rep,3.0,88997.52,35598.65,0.4,,,6,7,32,9,1146.0,rep_revenue_share,0.1216,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Leslie Thompson,Classic Cars,line_mix_rank_within_rep,1.0,143865.77,55609.66,0.3865,,,6,10,43,20,1471.0,rep_revenue_share,0.414,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Leslie Thompson,Vintage Cars,line_mix_rank_within_rep,2.0,89261.09,35822.7,0.4013,,,6,8,33,21,1187.0,rep_revenue_share,0.2568,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Leslie Thompson,Motorcycles,line_mix_rank_within_rep,3.0,43921.71,18925.89,0.4309,,,1,2,13,12,468.0,rep_revenue_share,0.1264,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Andy Fixter,Classic Cars,line_mix_rank_within_rep,1.0,187965.47,71331.4,0.3795,,,5,12,53,29,1818.0,rep_revenue_share,0.3341,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Andy Fixter,Vintage Cars,line_mix_rank_within_rep,2.0,148624.3,60245.07,0.4054,,,5,14,58,20,1945.0,rep_revenue_share,0.2642,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Andy Fixter,Motorcycles,line_mix_rank_within_rep,3.0,84583.19,36748.84,0.4345,,,4,6,26,13,876.0,rep_revenue_share,0.1503,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Foon Yue Tseng,Classic Cars,line_mix_rank_within_rep,1.0,266537.49,106553.94,0.3998,,,6,14,65,29,2361.0,rep_revenue_share,0.5459,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Foon Yue Tseng,Trucks and Buses,line_mix_rank_within_rep,2.0,79867.61,30752.52,0.385,,,5,6,24,10,845.0,rep_revenue_share,0.1636,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Foon Yue Tseng,Vintage Cars,line_mix_rank_within_rep,3.0,58559.85,24514.36,0.4186,,,6,10,21,16,751.0,rep_revenue_share,0.1199,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Leslie Jennings,Classic Cars,line_mix_rank_within_rep,1.0,373416.76,148787.4,0.3984,,,6,22,93,36,3404.0,rep_revenue_share,0.3453,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Leslie Jennings,Vintage Cars,line_mix_rank_within_rep,2.0,298556.37,122039.69,0.4088,,,6,25,101,24,3716.0,rep_revenue_share,0.276,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Leslie Jennings,Trucks and Buses,line_mix_rank_within_rep,3.0,163280.84,65461.04,0.4009,,,5,13,51,11,1770.0,rep_revenue_share,0.151,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Pamela Castillo,Classic Cars,line_mix_rank_within_rep,1.0,381132.11,150798.13,0.3957,,,10,18,92,37,3310.0,rep_revenue_share,0.439,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Pamela Castillo,Vintage Cars,line_mix_rank_within_rep,2.0,186184.94,74586.08,0.4006,,,10,19,73,24,2341.0,rep_revenue_share,0.2144,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Pamela Castillo,Planes,line_mix_rank_within_rep,3.0,132630.19,52545.13,0.3962,,,6,8,44,12,1587.0,rep_revenue_share,0.1528,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Julie Firrelli,Classic Cars,line_mix_rank_within_rep,1.0,150001.57,59180.4,0.3945,,,6,10,38,26,1300.0,rep_revenue_share,0.3879,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Julie Firrelli,Vintage Cars,line_mix_rank_within_rep,2.0,83830.62,31835.52,0.3798,,,5,9,31,17,1069.0,rep_revenue_share,0.2168,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Julie Firrelli,Trucks and Buses,line_mix_rank_within_rep,3.0,45512.07,17703.5,0.389,,,3,3,13,11,475.0,rep_revenue_share,0.1177,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Martin Gerard,Classic Cars,line_mix_rank_within_rep,1.0,183248.23,75600.67,0.4126,,,5,7,45,28,1642.0,rep_revenue_share,0.4729,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Martin Gerard,Vintage Cars,line_mix_rank_within_rep,2.0,73711.96,31156.29,0.4227,,,4,7,27,21,966.0,rep_revenue_share,0.1902,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Martin Gerard,Trucks and Buses,line_mix_rank_within_rep,3.0,57492.72,23420.87,0.4074,,,2,3,17,11,633.0,rep_revenue_share,0.1484,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Peter Marsh,Classic Cars,line_mix_rank_within_rep,1.0,197916.09,74732.96,0.3776,,,5,12,57,30,2034.0,rep_revenue_share,0.3386,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Peter Marsh,Vintage Cars,line_mix_rank_within_rep,2.0,157854.02,65648.04,0.4159,,,5,11,54,24,1952.0,rep_revenue_share,0.27,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Peter Marsh,Motorcycles,line_mix_rank_within_rep,3.0,82974.54,33642.51,0.4055,,,4,5,26,13,976.0,rep_revenue_share,0.1419,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,George Vanauf,Classic Cars,line_mix_rank_within_rep,1.0,202817.57,84232.49,0.4153,,,7,12,53,34,1801.0,rep_revenue_share,0.303,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,George Vanauf,Motorcycles,line_mix_rank_within_rep,2.0,151766.65,63528.39,0.4186,,,7,11,45,12,1587.0,rep_revenue_share,0.2267,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,George Vanauf,Planes,line_mix_rank_within_rep,3.0,122638.96,44942.84,0.3665,,,6,8,44,12,1600.0,rep_revenue_share,0.1832,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Barry Jones,Classic Cars,line_mix_rank_within_rep,1.0,353860.63,139129.79,0.3932,,,8,15,94,32,3193.0,rep_revenue_share,0.502,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Barry Jones,Vintage Cars,line_mix_rank_within_rep,2.0,88601.9,36411.63,0.411,,,8,12,36,20,1184.0,rep_revenue_share,0.1257,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Barry Jones,Trucks and Buses,line_mix_rank_within_rep,3.0,78691.98,26396.23,0.3354,,,5,7,23,10,859.0,rep_revenue_share,0.1116,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Mami Nishi,Classic Cars,line_mix_rank_within_rep,1.0,165393.31,66519.53,0.4022,,,4,9,38,26,1327.0,rep_revenue_share,0.3618,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Mami Nishi,Planes,line_mix_rank_within_rep,2.0,97868.56,39001.68,0.3985,,,4,5,33,12,1224.0,rep_revenue_share,0.2141,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Mami Nishi,Motorcycles,line_mix_rank_within_rep,3.0,53828.99,20461.55,0.3801,,,5,6,18,11,629.0,rep_revenue_share,0.1178,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
